Experiment No,Image name,Collection name,RMSE,Delta E
1,1,SIDD,54.0999178074314,18.101042488985936
1,1,SIDD_corrected,34.04115826068741,10.881237355305869
1,1,SIDD_corrected_danet,34.3988790166797,11.087280118547122
1,1,SIDD_corrected_danet_nldm,33.97841303067778,10.777693699088124
1,1,SIDD_corrected_danet_pp,34.15583900141563,10.961922109072562
1,1,SIDD_corrected_danet_t,34.94420077736433,11.232099081159403
2,2,SIDD,55.17014992464978,17.55519990416959
2,2,SIDD_corrected,34.034757911490274,11.03324386614801
2,2,SIDD_corrected_danet,34.399035157859686,11.186044268306881
2,2,SIDD_corrected_danet_nldm,34.01372894156736,10.986404944018068
2,2,SIDD_corrected_danet_pp,34.23018264114045,11.158222640588745
2,2,SIDD_corrected_danet_t,34.59948480770101,11.202191533366516
3,3,SIDD,72.79833106059735,26.15180665697262
3,3,SIDD_corrected,35.24702863141445,11.885755704437683
3,3,SIDD_corrected_danet,35.89940802777661,12.113150069245933
3,3,SIDD_corrected_danet_nldm,35.29896495767735,11.855329632473016
3,3,SIDD_corrected_danet_pp,35.70408801582344,12.109478782712229
3,3,SIDD_corrected_danet_t,36.195709614970255,12.179707769489127
4,5,SIDD,127.28689298195631,38.279967728422854
4,5,SIDD_corrected,34.94917836458212,11.635324877110454
4,5,SIDD_corrected_danet,36.34927139916287,12.226871069565874
4,5,SIDD_corrected_danet_nldm,34.75612346752128,11.530742245695336
4,5,SIDD_corrected_danet_pp,35.5101229423415,11.919963597026163
4,5,SIDD_corrected_danet_t,36.15364348858908,12.021206880752475
5,6,SIDD,49.22311488581863,14.815102363982719
5,6,SIDD_corrected,31.262285345541226,9.347208136383356
5,6,SIDD_corrected_danet,31.66329948860681,9.524192744094485
5,6,SIDD_corrected_danet_nldm,31.314314027626942,9.380987972061975
5,6,SIDD_corrected_danet_pp,31.470631305482655,9.459389621366832
5,6,SIDD_corrected_danet_t,31.936205534758404,9.593723817431895
6,8,SIDD,108.73227824953055,35.763056022524665
6,8,SIDD_corrected,36.03140358452378,12.09952902750171
6,8,SIDD_corrected_danet,36.45178661459316,12.261300255428182
6,8,SIDD_corrected_danet_nldm,36.02063075299696,12.06194735889757
6,8,SIDD_corrected_danet_pp,36.285202017029846,12.250950536436646
6,8,SIDD_corrected_danet_t,36.654627077599855,12.303420511699807
7,10,SIDD,135.6214237239702,41.1337245127646
7,10,SIDD_corrected,35.34097994228867,11.980175297172307
7,10,SIDD_corrected_danet,36.101615755479,12.28098569772969
7,10,SIDD_corrected_danet_nldm,35.280253528886384,11.941425828076618
7,10,SIDD_corrected_danet_pp,35.70735523808727,12.194723761565234
7,10,SIDD_corrected_danet_t,36.019462693220916,12.250144831420437
8,11,SIDD,37.34876622516019,11.296897211358322
8,11,SIDD_corrected,28.051863820468032,8.99748422983272
8,11,SIDD_corrected_danet,28.26739848407157,9.015075707719369
8,11,SIDD_corrected_danet_nldm,28.05169120672213,9.005414065207665
8,11,SIDD_corrected_danet_pp,28.42314627448244,9.071084111274216
8,11,SIDD_corrected_danet_t,28.72563788909511,9.061295894597308
9,13,SIDD,86.99693181850343,20.467365251217867
9,13,SIDD_corrected,35.07156235010187,11.803449765222958
9,13,SIDD_corrected_danet,35.38607747641248,11.898969595277897
9,13,SIDD_corrected_danet_nldm,35.18371612277949,11.780487198490524
9,13,SIDD_corrected_danet_pp,35.326323575625466,11.946378745729156
9,13,SIDD_corrected_danet_t,35.68101179709711,11.924644503093559
10,14,SIDD,61.33266636582553,18.76658218351336
10,14,SIDD_corrected,33.97822861085095,11.119640295865445
10,14,SIDD_corrected_danet,34.66367659756271,11.328674230071593
10,14,SIDD_corrected_danet_nldm,33.87116320138095,11.071545111443347
10,14,SIDD_corrected_danet_pp,34.325387967429926,11.232216659446067
10,14,SIDD_corrected_danet_t,34.74817445931812,11.344986976231992
11,16,SIDD,143.65032323173983,33.41953989956428
11,16,SIDD_corrected,51.76776378391769,17.05853041705998
11,16,SIDD_corrected_danet,51.90543158596218,17.11272747728842
11,16,SIDD_corrected_danet_nldm,51.717160725833224,17.10459953522789
11,16,SIDD_corrected_danet_pp,51.83108708624262,17.10320762779948
11,16,SIDD_corrected_danet_t,52.13810037215267,17.103443525034205
12,17,SIDD,51.084090575205835,14.382840068477142
12,17,SIDD_corrected,31.385539398476702,9.484779299503812
12,17,SIDD_corrected_danet,32.05712115781895,9.715286308394917
12,17,SIDD_corrected_danet_nldm,31.373760143164755,9.461848200653717
12,17,SIDD_corrected_danet_pp,31.63687863623322,9.583119907780024
12,17,SIDD_corrected_danet_t,32.15945380055451,9.762025472497394
13,18,SIDD,71.6325076053696,19.058139662430296
13,18,SIDD_corrected,34.788335279003725,11.503318988602288
13,18,SIDD_corrected_danet,37.02644791297274,12.30903129679953
13,18,SIDD_corrected_danet_nldm,34.284451052691146,11.396487149475638
13,18,SIDD_corrected_danet_pp,36.48008205471515,12.172892927086401
13,18,SIDD_corrected_danet_t,36.52545643929667,12.092588729898312
14,19,SIDD,102.9622516285297,33.08396418355254
14,19,SIDD_corrected,45.81701887672309,15.39719980113206
14,19,SIDD_corrected_danet,52.56376955462447,16.702532499476128
14,19,SIDD_corrected_danet_nldm,44.85109913647602,15.061551846570381
14,19,SIDD_corrected_danet_pp,51.93757050987993,16.57345549863005
14,19,SIDD_corrected_danet_t,52.326016896672286,16.72860841270179
15,20,SIDD,148.24205993351998,41.814218172159514
15,20,SIDD_corrected,27.846269293060903,8.793875658507385
